Days,eggsLaid,eggInHive,Larva,Pupa,Worker,Drone,Death,Birth,HoneyStock,Flower1Nectar,Flower2Nectar,Flower3Nectar
90,36,100,151,280,353,95,1456,2235,11639.25,9200,4360,22950
91,38,94,165,243,362,97,1495,2262,11720.5,7840,4180,21250
92,38,95,168,264,358,91,1518,2299,11841.25,7420,4000,20950
93,50,83,181,254,350,96,1554,2335,11926.5,8820,3440,21250
94,14,76,174,243,345,99,1595,2356,12053.25,8220,4470,19600
95,32,70,181,261,335,102,1615,2394,12150.75,8780,4210,20750
96,35,81,183,248,357,102,1628,2418,12152.5,7600,4780,23350
97,36,96,170,255,351,102,1654,2432,12273.5,8020,4190,19750
98,24,88,165,264,356,103,1676,2464,12335,8020,4040,22000
99,31,77,164,274,365,104,1692,2499,12416.75,7940,4150,20400
100,18,64,172,272,374,105,1705,2528,12477.75,7540,3810,20850
